"id","name","host_id","neighbourhood","latitude","longitude","room_type","price","number_of_reviews","host_listings","availability","rating","ward","availability_price","number_of_reviews_ltm"
16404369,"Spacious Apartment on Charming Tree-Lined Street",11581366,"Shaw, Logan Circle",38.91086,-77.01807,"Entire home/apt",70,278,2,117,98,"Ward 2",8190,3
16405079,"Historic DuPont Circle Inn ~ Lincoln Room",39930655,"Dupont Circle, Connecticut Avenue/K Street",38.91131,-77.04399,"Private room",74,280,125,314,94,"Ward 2",23236,31
16407168,"Basement Studio",82193614,"Brookland, Brentwood, Langdon",38.92419,-76.97811,"Private room",150,0,5,362,NA,"Ward 5",54300,0
16412264,"Exquisite Basement Suite (No Smoking)",2615928,"Douglas, Shipley Terrace",38.84485,-76.98004,"Entire home/apt",103,68,2,87,98,"Ward 8",8961,1
16413061,"Spacious Apartment in Heart of Capitol Hill",107552587,"Capitol Hill, Lincoln Park",38.8865,-76.99323,"Entire home/apt",130,90,1,111,100,"Ward 6",14430,1
16413101,"Bright, clean spot for inauguration weekend!",4261694,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92173,-77.03407,"Entire home/apt",699,0,1,0,NA,"Ward 1",0,0
16413243,"4 blocks from the Capitol: 3 bedroom townhouse",107554253,"Capitol Hill, Lincoln Park",38.88974,-77.00116,"Entire home/apt",250,3,1,0,100,"Ward 6",0,0
16414195,"Private 1 Bedroom in the Heart of Capitol Hill",104524621,"Union Station, Stanton Park, Kingman Park",38.89452,-77.00267,"Entire home/apt",86,7,1,0,97,"Ward 6",0,0
16415014,"Cozy Place to Call Home in DC!",107569275,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92987,-77.02406,"Private room",65,25,1,0,99,"Ward 1",0,0
16415029,"Huge guest room",2615928,"Douglas, Shipley Terrace",38.84262,-76.98146,"Private room",65,34,2,0,100,"Ward 8",0,0
16415389,"Beer & Bacon: Entire Apt by U Street",107573807,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.91997,-77.03452,"Entire home/apt",80,17,1,0,94,"Ward 1",0,0
16415944,"Best Inauguration Weekend Bet - Capitol Hill",8239311,"Union Station, Stanton Park, Kingman Park",38.89946,-76.98501,"Entire home/apt",850,0,1,0,NA,"Ward 6",0,0
16416270,"Cute/cozy entire 1 BR apartment in Shaw, DC",24497847,"Shaw, Logan Circle",38.91119,-77.02122,"Entire home/apt",95,10,1,0,98,"Ward 2",0,0
16416330,"Luxury Condo in the Heart of Georgetown",107584062,"Georgetown, Burleith/Hillandale",38.90714,-77.05617,"Entire home/apt",1000,0,1,0,NA,"Ward 2",0,0
16416650,"Luxury townhouse DC Southwest at Wharf,Metro 2 min",107587547,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87377,-77.01746,"Entire home/apt",80,44,1,89,91,"Ward 6",7120,0
16417812,"Modern 1 bedroom apt - 5 min walk to union station",107601380,"Union Station, Stanton Park, Kingman Park",38.90155,-77.00044,"Entire home/apt",100,0,1,0,NA,"Ward 6",0,0
16421318,"2 Bedroom, 2 Bath Apartment Near Capitol Hill",107638902,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90572,-77.01238,"Entire home/apt",1500,0,1,87,NA,"Ward 2",130500,0
16422477,"INAUGURATION Townhouse 2 blocks from U.S. Capitol",68220917,"Capitol Hill, Lincoln Park",38.88391,-77.00774,"Entire home/apt",1600,0,1,0,NA,"Ward 6",0,0
16422635,"Very well-located and maintained apartment",107652707,"Dupont Circle, Connecticut Avenue/K Street",38.91319,-77.04498,"Entire home/apt",600,0,1,0,NA,"Ward 2",0,0
16423443,"Cozy, Modern Basecamp in Heart of DC--New Listing!",6013872,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89999,-77.01863,"Entire home/apt",109,0,1,0,NA,"Ward 2",0,0
16423741,"Spacious Dupont 1BR; Top Floor",6030345,"Dupont Circle, Connecticut Avenue/K Street",38.90678,-77.03665,"Entire home/apt",133,9,1,0,85,"Ward 2",0,0
16424027,"Townhouse in the heart of Shaw - Sleeps 4-6 ppl",85663459,"Shaw, Logan Circle",38.91115,-77.02215,"Entire home/apt",299,0,1,0,NA,"Ward 2",0,0
16424378,"Private bdrm in luxury building w/ en suite bath",22539400,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90227,-77.01732,"Private room",75,0,1,0,NA,"Ward 2",0,0
16425397,"Beautiful family friendly rowhouse in NE DC",15015000,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92139,-77.00283,"Entire home/apt",300,0,1,0,NA,"Ward 5",0,0
16426700,"Renovated Capitol Hill Home- Gorgeous & Convenient",107690500,"Union Station, Stanton Park, Kingman Park",38.89718,-76.9765,"Entire home/apt",200,0,1,0,NA,"Ward 6",0,0
16427431,"Sleek, Accessible 1 bedroom - Walk to Inauguration",94079641,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90163,-77.01006,"Entire home/apt",500,1,1,0,NA,"Ward 2",0,0
16427522,"Perfectly Petworth! Apt. Next to Metro w/ Parking",107697689,"Brightwood Park, Crestwood, Petworth",38.93728,-77.02303,"Entire home/apt",95,257,1,114,99,"Ward 4",10830,8
16428041,"Lamont Street 2 BR, Perfect for Inauguration Day",107703003,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93021,-77.03642,"Entire home/apt",600,1,1,363,NA,"Ward 1",217800,0
16429958,"Capitol Hill - Walk to the Mall and Eastern Market",107722363,"Union Station, Stanton Park, Kingman Park",38.89354,-76.99333,"Entire home/apt",150,2,1,334,100,"Ward 6",50100,0
16437127,"Cozy, Modern Capitol Hill Row Home",67398999,"Capitol Hill, Lincoln Park",38.88957,-76.99187,"Entire home/apt",580,0,1,0,NA,"Ward 6",0,0
16438473,"Sofabed Near Eastern Market",102159854,"Capitol Hill, Lincoln Park",38.88464,-77.00044,"Shared room",76,0,1,0,NA,"Ward 6",0,0
16439232,"Private room in Van Ness near metro/bus",37501120,"North Cleveland Park, Forest Hills, Van Ness",38.95147,-77.06802,"Private room",250,0,1,0,NA,"Ward 3",0,0
16439413,"Town House for Women's March",11292177,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90699,-77.08237,"Entire home/apt",2200,0,1,0,NA,"Ward 3",0,0
16439578,"Grand Debut: Stunning new Capitol Hill Apartment",7547373,"Union Station, Stanton Park, Kingman Park",38.89836,-76.989,"Entire home/apt",139,202,1,267,98,"Ward 6",37113,12
16441567,"A Convenient, Cozy, and Comfortable Stay",33861861,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91369,-77.00326,"Entire home/apt",104,75,1,0,97,"Ward 5",0,0
16441766,"Spacious rowhouse in H St Corridor",63969167,"Union Station, Stanton Park, Kingman Park",38.90258,-76.99058,"Private room",1000,0,1,0,NA,"Ward 6",0,0
16442548,"Charming rowhouse, great area!",17920253,"Howard University, Le Droit Park, Cardozo/Shaw",38.91867,-77.02854,"Entire home/apt",151,10,1,0,96,"Ward 1",0,0
16443106,"Private Room with Private Entrance and Patio",107835429,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91785,-77.01153,"Private room",50,147,2,90,91,"Ward 5",4500,0
16443290,"Cozy, clean , Private room and great location 3",107838619,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.93376,-77.09181,"Private room",100,2,1,90,NA,"Ward 3",9000,0
16443343,"Cozy 3BD Row House near Capitol Hill",76644652,"Capitol Hill, Lincoln Park",38.88527,-76.98197,"Entire home/apt",600,2,1,89,100,"Ward 6",53400,1
16444491,"Washington DC !! LOVELY ROOM IN BEAUTIFUL DC",72953247,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92252,-77.03716,"Entire home/apt",850,1,1,365,NA,"Ward 1",310250,0
16448459,"Beautiful Newly Renovated 2 Bedroom Apt Takoma Pk",107888317,"Takoma, Brightwood, Manor Park",38.97207,-77.02624,"Entire home/apt",100,7,1,151,100,"Ward 4",15100,5
16449070,"Cozy Capitol Hill English Basement",107893704,"Capitol Hill, Lincoln Park",38.88283,-77.00698,"Entire home/apt",1700,0,1,0,NA,"Ward 6",0,0
16449357,"Hosting for the Inauguration / Million Woman March",107896506,"Dupont Circle, Connecticut Avenue/K Street",38.91385,-77.04295,"Entire home/apt",350,1,1,90,NA,"Ward 2",31500,0
16450285,"Large, 1BR/1BA private home, Shaw/National Mall",5241444,"Shaw, Logan Circle",38.91033,-77.01674,"Entire home/apt",850,0,1,87,NA,"Ward 2",73950,0
16451547,"Spacious 2 BR Surrounded by 5 Star Conveniences",22308548,"Shaw, Logan Circle",38.91308,-77.01873,"Entire home/apt",127,20,1,0,98,"Ward 2",0,0
16452437,"Inauguaration - 2 bedroom 7 min from White House",10195723,"Shaw, Logan Circle",38.90687,-77.03073,"Entire home/apt",700,0,1,0,NA,"Ward 2",0,0
16452808,"Beautiful Two Level Condo in vibrant Adams Morgan",107316973,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92177,-77.0432,"Entire home/apt",800,0,1,365,NA,"Ward 1",292000,0
16453064,"Classic Patriotic Capitol Hill / H Street Home",104127819,"Union Station, Stanton Park, Kingman Park",38.89434,-76.98597,"Entire home/apt",350,1,4,36,80,"Ward 6",12600,0
16453579,"Private Room in Park View",32865087,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93052,-77.02052,"Private room",300,1,1,0,100,"Ward 1",0,0
16453909,"Stylish, Contemporary Row House near Capitol",902113,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90554,-76.98265,"Entire home/apt",81,20,1,0,98,"Ward 5",0,0
16454685,"Historic Home Next to Capitol, Walk to Everything!",18393059,"Capitol Hill, Lincoln Park",38.88427,-77.00511,"Entire home/apt",268,270,3,244,99,"Ward 6",65392,23
16456577,"Elegant 2BR Condo - walk to Nat'l Mall & 2 metros!",25415212,"West End, Foggy Bottom, GWU",38.90561,-77.05089,"Entire home/apt",503,5,1,0,100,"Ward 2",0,0
16461640,"Five block walk to Inauguration! Capitol Hill home",108003528,"Capitol Hill, Lincoln Park",38.88316,-77.00502,"Entire home/apt",1499,0,1,0,NA,"Ward 6",0,0
16462028,"It’s hard to get any closer to the Capitol dome!",108007021,"Union Station, Stanton Park, Kingman Park",38.89236,-77.00129,"Entire home/apt",340,119,1,95,96,"Ward 6",32300,28
16462766,"Charming 2 Bedroom Apartment for Inauguration",21912067,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92371,-77.04582,"Entire home/apt",695,0,1,0,NA,"Ward 1",0,0
16464310,"1br/1ba Apartment Perfect for Inauguration!",72712500,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91605,-77.01323,"Entire home/apt",200,0,1,0,NA,"Ward 5",0,0
16464353,"Nightly rental space",106389025,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87917,-77.01566,"Entire home/apt",207,1,2,365,100,"Ward 6",75555,0
16465485,"A Tranquil Oasis in Heart of Historic Mt. Pleasant",13720227,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93326,-77.04055,"Private room",111,316,1,339,98,"Ward 1",37629,78
16465756,"Cozy Photographer's Studio in Heart of DC",26383175,"Dupont Circle, Connecticut Avenue/K Street",38.91004,-77.04275,"Entire home/apt",550,0,1,88,NA,"Ward 2",48400,0
16466316,"Huge Home Presidential Inauguration week 2017",108042585,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96395,-77.00343,"Entire home/apt",3500,0,1,365,NA,"Ward 5",1277500,0
16467073,"Private Apartment in Historic East Capitol Hill",59212497,"Union Station, Stanton Park, Kingman Park",38.89389,-76.97891,"Entire home/apt",81,107,1,66,97,"Ward 6",5346,23
16467167,"centrally located,1 block to metro",107682092,"Dupont Circle, Connecticut Avenue/K Street",38.90764,-77.04169,"Private room",400,0,1,0,NA,"Ward 2",0,0
16467354,"Elegant 1BR/1BA Condo in Mount Vernon Triangle",58872433,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90551,-77.01797,"Entire home/apt",480,0,1,0,NA,"Ward 2",0,0
16467368,"2 bd, full amenities and PARKING in Downtown",35502794,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90386,-77.02731,"Entire home/apt",1050,0,1,83,NA,"Ward 2",87150,0
16468257,"clean/quiet Woodley Park apartment",12161059,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92983,-77.05453,"Entire home/apt",115,2,1,0,100,"Ward 3",0,0
16469278,"Best stay in Bloomingdale - minutes to everything!",15582957,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91374,-77.01351,"Entire home/apt",169,228,1,7,98,"Ward 5",1183,29
16469368,"♡Cute Private Room/Bath Steps Away From DC Culture",46521595,"Howard University, Le Droit Park, Cardozo/Shaw",38.91785,-77.0282,"Private room",48,258,6,0,97,"Ward 1",0,0
16470182,"Urban Oasis in the Heart of Downtown/Shaw",108086559,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90502,-77.02421,"Entire home/apt",65,218,1,0,99,"Ward 2",0,31
16475117,"2 Bedroom- Walk to Weekend Activities and Metro",18743514,"Shaw, Logan Circle",38.91139,-77.02595,"Entire home/apt",500,0,1,0,NA,"Ward 2",0,0
16477337,"2 Bedroom Apartment overlooking Nats Stadium",89238844,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87841,-77.01587,"Entire home/apt",81,0,1,0,NA,"Ward 6",0,0
16479914,"Comfy-chic 3-Bedroom Rowhouse in Petworth sleeps 8",59004447,"Brightwood Park, Crestwood, Petworth",38.94381,-77.02364,"Entire home/apt",300,0,1,0,NA,"Ward 4",0,0
16480055,"1 Bedroom in lovely apartment, Heart of U Street",108186494,"Howard University, Le Droit Park, Cardozo/Shaw",38.91843,-77.03257,"Private room",80,0,1,0,NA,"Ward 1",0,0
16480346,"Charming English Basement in Capitol Hill",108189881,"Capitol Hill, Lincoln Park",38.88615,-76.99506,"Entire home/apt",120,0,1,0,NA,"Ward 6",0,0
16480798,"3 Bedroom Home in Capital Hill",108195453,"Capitol Hill, Lincoln Park",38.88565,-76.99117,"Entire home/apt",2500,0,1,0,NA,"Ward 6",0,0
16485949,"Beautiful sun-filled apt in great location in DC!",108246323,"Hawthorne, Barnaby Woods, Chevy Chase",38.97262,-77.05519,"Entire home/apt",500,0,1,364,NA,"Ward 4",182000,0
16487154,"1 Bedroom -- Walk to Capitol, Mall, & White House!",3293022,"Near Southeast, Navy Yard",38.87216,-77.00608,"Entire home/apt",99,2,1,0,100,"Ward 6",0,0
16487475,"Cozy Studio Room w/ Private Entrance",108261325,"Brightwood Park, Crestwood, Petworth",38.95697,-77.03259,"Entire home/apt",50,294,1,296,97,"Ward 4",14800,31
16488275,"PRO CLEANED! Mid-Century Masterpiece - Sleeps 6!",46630199,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91285,-77.00681,"Entire home/apt",368,99,55,111,97,"Ward 5",40848,8
16490471,"1 Bedroom, 1.5 Bath Condo in Logan Circle",12991869,"Shaw, Logan Circle",38.90651,-77.0301,"Entire home/apt",175,5,1,0,100,"Ward 2",0,0
16490768,"Newly renovated 1 BR in prestigious/safe Kalorama!",10537838,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91593,-77.04822,"Entire home/apt",200,0,1,0,NA,"Ward 1",0,0
16492690,"Modern private 1BR apt. 3 miles to U.S. Capitol",108307844,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9324,-77.01879,"Entire home/apt",85,98,1,263,99,"Ward 1",22355,6
16495027,"Spacious Apartment Ideal for Inauguration Week!",27222600,"Howard University, Le Droit Park, Cardozo/Shaw",38.9167,-77.02259,"Entire home/apt",750,0,1,0,NA,"Ward 1",0,0
16496339,"Special listing. Limited offer.",107835429,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91752,-77.01359,"Private room",85,4,2,90,100,"Ward 5",7650,0
16496839,"Sunny Studio in Glover Park with Breakfast",53452111,"Cathedral Heights, McLean Gardens, Glover Park",38.92373,-77.07299,"Entire home/apt",65,4,1,0,95,"Ward 3",0,0
16497778,"Capitol Hill Townhouse, PERFECT for Inauguration!!",14473273,"Union Station, Stanton Park, Kingman Park",38.89506,-76.99766,"Private room",400,0,1,0,NA,"Ward 6",0,0
16498327,"Studio on Capitol Hill, 6 Blocks from the Capitol",26218423,"Capitol Hill, Lincoln Park",38.89109,-76.99884,"Entire home/apt",450,0,1,0,NA,"Ward 6",0,0
16498843,"Spacious multi-level home in the city",38372932,"Brookland, Brentwood, Langdon",38.93114,-76.9927,"Entire home/apt",800,0,1,0,NA,"Ward 5",0,0
16506531,"Cozy condo near metro, sights, restaurants & more",43841660,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91707,-77.00066,"Private room",65,49,2,139,99,"Ward 5",9035,0
16509078,"NE DC Apartment",4159685,"Union Station, Stanton Park, Kingman Park",38.90124,-76.98781,"Entire home/apt",310,0,2,0,NA,"Ward 6",0,0
16509164,"Petworth Studio",4159685,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94545,-77.01444,"Entire home/apt",120,0,2,0,NA,"Ward 5",0,0
16512828,"Modern, Spacious Apt in Hip Downtown Neighborhood",31488625,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90951,-77.00996,"Entire home/apt",189,105,5,0,98,"Ward 5",0,0
16514018,"PRO CLEANED! Stunning Logan Circle Apt ~ Sleeps 4!",46630199,"Shaw, Logan Circle",38.91132,-77.03001,"Entire home/apt",96,125,55,84,98,"Ward 2",8064,8
16515949,"1 Bedrm, 3rd Fl, Dwntn,3 blks Convention Ctr/Metro",2024948,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90658,-77.01497,"Entire home/apt",100,74,2,0,99,"Ward 5",0,43
16516081,"Entire Home in Georgetown",108574381,"Georgetown, Burleith/Hillandale",38.90718,-77.05695,"Entire home/apt",300,3,1,0,100,"Ward 2",0,0
16516107,"Cozy room centrally located, steps from DC's best",959142,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90543,-77.01864,"Private room",115,38,1,51,97,"Ward 2",5865,0
16516624,"Warm and Comfy Townhouse-Convenient Location!",62225115,"Congress Heights, Bellevue, Washington Highlands",38.83117,-77.00872,"Entire home/apt",125,2,1,0,100,"Ward 8",0,0
16518018,"Inauguration -Logan Circle: 2 bed/2 bath + Parking",70168369,"Shaw, Logan Circle",38.91143,-77.02873,"Entire home/apt",70,0,1,0,NA,"Ward 2",0,0
16518770,"Classy & Elegant on Capitol Hill!",36993961,"Union Station, Stanton Park, Kingman Park",38.89414,-76.98288,"Entire home/apt",95,64,1,180,99,"Ward 6",17100,0
16520026,"Modern 1BR Apt just blocks from Union Station",14449082,"Union Station, Stanton Park, Kingman Park",38.90268,-77.00075,"Entire home/apt",100,41,1,19,96,"Ward 6",1900,0
16520715,"Artsy 1 bdrm apt, walk to metro",5090793,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92977,-76.99534,"Entire home/apt",169,4,2,0,100,"Ward 5",0,0
16521785,"Modern Nats Park/Capitol Hill Home",108624574,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8762,-77.00938,"Entire home/apt",100,171,2,88,93,"Ward 6",8800,12
16523231,"1BR Apartment(unfurnished),for the simple traveler",108654658,"Congress Heights, Bellevue, Washington Highlands",38.84677,-77.00161,"Entire home/apt",75,0,2,0,NA,"Ward 8",0,0
16525202,"1 BR, 1 BA, LR suite on entire 3rd floor row house",88074789,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90561,-77.02944,"Private room",189,34,1,90,100,"Ward 2",17010,0
16528608,"Chic 2 Bedroom Georgetown Row House",88330982,"Georgetown, Burleith/Hillandale",38.90647,-77.05697,"Entire home/apt",170,7,2,0,93,"Ward 2",0,0
16528623,"Vibrant U Street 3 BR Home - Next To Metro",107842986,"Howard University, Le Droit Park, Cardozo/Shaw",38.91813,-77.02945,"Entire home/apt",295,40,4,235,99,"Ward 1",69325,1
16528646,"1 bedroom basement apartment in Mt Pleasant",12840458,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93394,-77.04418,"Entire home/apt",300,0,1,0,NA,"Ward 1",0,0
16530141,"907Euclid202",108719050,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92311,-77.02389,"Entire home/apt",250,10,1,10,98,"Ward 1",2500,0
16531993,"Studio 3 blocks from White House",108747346,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90099,-77.03467,"Private room",10,0,1,0,NA,"Ward 2",0,0
16532102,"Entire House at Centrally-located Logan Circle!",37551897,"Shaw, Logan Circle",38.90949,-77.02984,"Entire home/apt",4000,0,1,0,NA,"Ward 2",0,0
16534433,"Private BR near National Arboretum",16970916,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90791,-76.98123,"Private room",69,65,1,0,99,"Ward 5",0,0
16534472,"Private Bedroom & Bath with Private Balcony",101058193,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91534,-77.00468,"Private room",90,2,3,0,100,"Ward 5",0,0
16534563,"Foggy Bottom, Luxury Townhouse",4531028,"West End, Foggy Bottom, GWU",38.90145,-77.05318,"Entire home/apt",500,0,2,126,NA,"Ward 2",63000,0
16537140,"Urban Retreat",34108886,"North Michigan Park, Michigan Park, University Heights",38.93819,-76.98734,"Entire home/apt",100,77,1,132,99,"Ward 5",13200,0
16540667,"Private room minutes from public transportation",4702966,"Capitol View, Marshall Heights, Benning Heights",38.88884,-76.92249,"Private room",50,0,1,0,NA,"Ward 7",0,0
16541048,"Private suite in DC near metro",568938,"Takoma, Brightwood, Manor Park",38.9665,-77.0218,"Private room",160,0,1,0,NA,"Ward 4",0,0
16541090,"Gorgeous Townhouse in Georgetown w/parking + patio",8816158,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90696,-77.08194,"Entire home/apt",750,1,1,0,100,"Ward 3",0,0
16541516,"3 BR DC Rowhouse near Capitol Hill",17047605,"Capitol Hill, Lincoln Park",38.87822,-76.98343,"Entire home/apt",129,3,1,0,93,"Ward 6",0,0
16541540,"Historic Farmhouse Apt ~ Sleeps 8!",37014,"Howard University, Le Droit Park, Cardozo/Shaw",38.91537,-77.01829,"Entire home/apt",299,4,1,0,95,"Ward 1",0,0
16542664,"1 Br appt| Walk to the Capitol",93492127,"Union Station, Stanton Park, Kingman Park",38.90409,-77.00145,"Entire home/apt",485,0,1,0,NA,"Ward 6",0,0
16544121,"Downtown Luxury Condo For 3!",108881241,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90411,-77.01653,"Entire home/apt",72,2,1,0,100,"Ward 2",0,0
16544141,"Central location for DC Visitors ""NILE ROOM""",78194147,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92834,-77.01991,"Private room",65,163,6,73,97,"Ward 1",4745,24
16544630,"Crisp 2-BR Flat in Our Nation's Capitol",108887951,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86472,-76.96929,"Entire home/apt",238,0,1,0,NA,"Ward 7",0,0
16544641,"Industrial Chic 2 bedroom/2.5 bathroom on 14th St.",108888501,"Shaw, Logan Circle",38.90796,-77.03166,"Entire home/apt",499,7,1,363,80,"Ward 2",181137,0
16545176,"Capitol Hill Row-home, entire home, easy parking",6646872,"Union Station, Stanton Park, Kingman Park",38.89482,-76.98525,"Entire home/apt",175,4,1,0,100,"Ward 6",0,0
16545215,"Elegant/Private apartment in the Heart of DC",85935922,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92427,-77.05045,"Private room",195,59,1,365,99,"Ward 3",71175,0
16545632,"Stylish, Spacious Apt in Hip Neighborhood w/Prking",31488625,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91153,-77.01205,"Entire home/apt",199,107,5,0,98,"Ward 5",0,0
16545944,"3 Bedroom apt in Columbia Heights",111114,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92824,-77.03222,"Entire home/apt",191,0,2,0,NA,"Ward 1",0,0
16547452,"Bright, 1 BR Condo in Columbia Heights, DC",5039112,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92808,-77.02699,"Entire home/apt",150,8,1,123,95,"Ward 1",18450,0
16553448,"Heart of D.C. 2bedroom 2.5 bath",16572948,"Dupont Circle, Connecticut Avenue/K Street",38.91488,-77.03658,"Entire home/apt",800,0,1,0,NA,"Ward 2",0,0
16555136,"Beautiful 4 BR 2 BA House near Capitol",109003620,"Union Station, Stanton Park, Kingman Park",38.90025,-76.98635,"Entire home/apt",1200,0,1,90,NA,"Ward 6",108000,0
16555435,"3 Bedroom Rowhouse - Le Droit Park DC",67564678,"Howard University, Le Droit Park, Cardozo/Shaw",38.91483,-77.01796,"Entire home/apt",900,0,1,0,NA,"Ward 1",0,0
16555755,"One bedroom in the heart of the city",3661050,"Howard University, Le Droit Park, Cardozo/Shaw",38.91605,-77.03383,"Entire home/apt",79,4,1,0,100,"Ward 1",0,0
16555956,"Great Location!",48067892,"Shaw, Logan Circle",38.91118,-77.03371,"Private room",119,0,1,0,NA,"Ward 2",0,0
16556249,"Capitol Hill House - 2BR/2BA",20367318,"Union Station, Stanton Park, Kingman Park",38.8945,-76.99693,"Entire home/apt",300,2,1,0,100,"Ward 6",0,0
16556491,"Entire house for inauguration",21896110,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94762,-77.00537,"Entire home/apt",700,0,1,0,NA,"Ward 5",0,0
16556626,"Beautiful Home in Shaw w/ Parking!",7879195,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90473,-77.0286,"Entire home/apt",1303,0,1,365,NA,"Ward 2",475595,0
16556684,"Inauguration weekend 1BR & 1 BA Apartment",48607342,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93439,-77.05481,"Private room",150,0,1,0,NA,"Ward 3",0,0
16556908,"4 BR Row House for Inauguration",109023539,"Union Station, Stanton Park, Kingman Park",38.89474,-76.997,"Entire home/apt",1250,1,1,0,100,"Ward 6",0,0
16557144,"Spectacular Designer Residence",15784084,"Shaw, Logan Circle",38.90811,-77.02625,"Entire home/apt",3000,1,1,359,100,"Ward 2",1077000,0
16558082,"Comfortable & Convenient 2 BR + den near Metro",97840666,"Colonial Village, Shepherd Park, North Portal Estates",38.98558,-77.03046,"Private room",140,2,1,0,90,"Ward 4",0,0
16559042,"Colorful & Comfortable 1BR Near the Metro!",69840110,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91732,-77.00238,"Entire home/apt",75,1,1,0,100,"Ward 5",0,0
16560155,"Lovely & Bright Georgetown English Basement",20955750,"Georgetown, Burleith/Hillandale",38.91692,-77.0739,"Private room",140,1,1,0,100,"Ward 2",0,0
16561484,"Private room 2 blocks from Metro stop! no DC tax",43351585,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85136,-76.96421,"Private room",25,41,2,89,91,"Ward 8",2225,0
16565471,"Inaug Special- luxury 2bed/2bath close to Cap Hill",109110537,"Union Station, Stanton Park, Kingman Park",38.90444,-77.00809,"Entire home/apt",500,1,1,88,NA,"Ward 6",44000,0
